date,maxtp,mintp,igmin,gmin,cbl,wdsp,hm,ddhm,hg,sun,dos,g_rad,soil,pe,evap,smd_wd,smd_md,smd_pd,Rainy
1-Jan-01,-0.5255190460874981,-0.2785034186080429,-0.5514183875020485,-0.4862727021139163,0.05453107104919169,-0.06572732218512861,0.012108282739693672,-0.16760175088527543,0.04859271641545703,-0.9946117354129441,-0.05316943339954863,-1.1175834506933522,-1.1076676847975757,-0.9982130753496598,-1.0553878345196925,-0.8219700657661577,-0.8009300488079605,-0.9126199210271546,1
2-Jan-01,-0.9322645548079382,-1.0716084236895431,1.7338444177828574,-0.804391681037118,0.05453107104919169,-0.1414455953882542,0.3281697694166366,0.8956252525769344,0.37608782642893135,-1.1008374889062957,-0.05316943339954863,-1.1469476525456408,-1.0644512505277401,-1.0983991026844908,-1.1227616417682933,-0.8219700657661577,-0.8128218193727349,-0.9126199210271546,1
3-Jan-01,-1.1559745846041805,-1.049577729103946,1.7338444177828574,-0.954094729942154,-2.3866906662003355,0.009990951017996985,-0.30395320393724923,0.1868072502687945,-0.2789023935980173,-1.0742810505329579,-0.05316943339954863,-1.195887988966122,-1.39577724659648,-1.0983991026844908,-1.1227616417682933,-0.8219700657661577,-0.9971442631267391,-0.9126199210271546,1
4-Jan-01,-1.3390100635283784,-1.33597675871671,1.7338444177828574,-0.8605303243765065,-2.5213168649457134,-1.0500648738257592,-0.9360761772911351,0.5412162514228644,-1.043057650296124,-0.9680552970396062,-0.05316943339954863,-1.0882192488410634,-1.2757315958469364,-1.3989571846889848,-1.3922568707626954,-0.8219700657661577,-0.7414711959840881,-0.8900640423800944,-1
5-Jan-01,-2.294862009021413,-1.5783143991582795,1.7338444177828574,-1.833600142259241,-2.3507903465349034,-0.7976706298153411,-0.6200146906141922,0.5412162514228644,-0.7155625402826498,-1.1008374889062957,-0.05316943339954863,-1.1245749273248493,-1.53503020146595,-1.3989571846889848,-1.3922568707626954,-0.8219700657661577,-0.7414711959840881,-0.8720193394624461,-1
6-Jan-01,-1.4203591652724665,-0.8513014778335709,1.7338444177828574,-1.0476591355078015,-1.5609833138953457,1.120525624663836,0.17013902607816514,0.6593525851408878,0.04859271641545703,0.6253310053606684,-0.05316943339954863,-0.8798732452224435,-1.4389936808663155,-1.1985851300193222,-1.2575092562654944,-0.8095324930961462,-0.7295794254193136,-0.8404411093565621,-1
7-Jan-01,-1.6237319196326865,-1.0716084236895431,1.7338444177828574,-0.954094729942154,-0.6724504021758522,1.6505535370857143,0.802261999432051,0.6593525851408878,0.8127479731135638,-0.9946117354129441,-0.05316943339954863,-1.132964699282646,-1.53503020146595,-1.0983991026844908,-1.0553878345196925,-0.7908761340911288,-0.711741769572152,-0.8088628792506777,-1
8-Jan-01,-1.6237319196326865,-1.1377005074463349,1.7338444177828574,-1.0476591355078015,-0.09804528752890758,-0.34336099059658837,-0.46198394727572073,0.6593525851408878,-0.4972324669403335,0.5722181286139926,-0.05316943339954863,-0.8477124527175559,-1.539832027495932,-1.3989571846889848,-1.3922568707626954,-0.7846573477561231,-0.7057958842897647,-0.7863070006036176,-1
9-Jan-01,-1.6033946441966647,-1.7545599558430574,1.7338444177828574,-2.0581547156167947,-0.10702036744526816,-1.4538956642424279,-1.0941069206296066,-1.7033740892195786,-1.043057650296124,-1.04772461215962,-0.05316943339954863,-1.099405611451459,-1.592652113825731,-1.3989571846889848,-1.324883063514095,-0.8219700657661577,-0.7533629665488626,-0.8043517035212656,-1
10-Jan-01,-1.6033946441966647,-0.5208410590496124,1.7338444177828574,-1.8710259044854998,0.35968378820538005,0.868131380653418,0.17013902607816514,-1.7033740892195786,0.48525286310008947,-1.0742810505329579,-0.05316943339954863,-1.2014811702713197,-1.3861735945365163,-0.697654993345166,-0.7185187982766896,-0.8219700657661577,-0.7414711959840881,-0.7863070006036176,-1
11-Jan-01,-1.5423828178885985,-0.5208410590496124,-0.5514183875020485,-0.5798371076795639,0.9969144622668384,2.357257420314885,1.2763542294474655,-1.585237755501555,1.4677381931405125,-0.8883859819195925,-0.05316943339954863,-1.1273715179774484,-1.467804637046206,-0.09653882933617862,-0.1121545330392845,-0.7349070570760766,-0.6582288020306668,-0.7096170132036129,-1
12-Jan-01,-1.4406964407084883,-0.9614549507615571,-0.5514183875020485,-0.22429236653010326,1.2571917798412342,1.0952862002627943,0.48620051275510806,-1.4671014217835319,0.5944178997712476,0.04108936114723433,-0.05316943339954863,-0.8463141573912565,-1.4101827246864251,-0.8980270480148286,-0.9880140272710921,-0.697594339066042,-0.6225534903363434,-0.6690164316389046,-1
13-Jan-01,-1.4406964407084883,-1.886744123356641,1.7338444177828574,-1.9084516667117586,1.5802946568301437,-1.0753042982268008,-0.7780454339526637,-0.758283419475392,-0.7155625402826498,0.7315567588540202,-0.05316943339954863,-0.7708062097710855,-1.6838868083953837,-1.3989571846889848,-1.3922568707626954,-0.697594339066042,-0.6225534903363434,-0.6599940801800805,-1
