,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.004563045501708984,0.0034560646583351017,0.05740189552307129,0.004256288147151021,1,{'n_neighbors': 1},0.698874296435272,0.6807511737089202,0.7070422535211267,0.6854460093896714,0.6713615023474179,0.6886950470804817,0.01276205504356942,99
1,0.0033213615417480467,0.0006031857251601486,0.06540780067443848,0.0021894600023486437,2,{'n_neighbors': 2},0.699812382739212,0.6985915492957746,0.7183098591549296,0.7004694835680751,0.6873239436619718,0.7009014436839927,0.009940922406141644,98
2,0.002996969223022461,0.00021188839536065703,0.06628460884094238,0.0011912858367308966,3,{'n_neighbors': 3},0.7195121951219512,0.7295774647887324,0.7417840375586855,0.7089201877934272,0.7051643192488263,0.7209916409023245,0.013449557473943356,97
3,0.003746318817138672,0.0008768082831977865,0.08451499938964843,0.01412724545181392,4,{'n_neighbors': 4},0.7204502814258912,0.7295774647887324,0.7446009389671362,0.7230046948356808,0.7089201877934272,0.7253107135621736,0.011729525310922742,96
4,0.002757835388183594,8.930224325332144e-05,0.06905035972595215,0.0018679771463128289,5,{'n_neighbors': 5},0.7420262664165104,0.7408450704225352,0.7596244131455399,0.7380281690140845,0.7164319248826291,0.7393911687762598,0.013765365202540824,95
5,0.002888202667236328,4.93794750689563e-05,0.07298779487609863,0.0018854820902975452,6,{'n_neighbors': 6},0.7401500938086304,0.7370892018779343,0.7549295774647887,0.7370892018779343,0.7286384976525822,0.739579314536374,0.008579733762037252,94
6,0.003002834320068359,0.0003530413700188919,0.07123613357543945,0.0009685119094529247,7,{'n_neighbors': 7},0.7448405253283302,0.7427230046948357,0.7680751173708921,0.7370892018779343,0.7286384976525822,0.744273269384915,0.01315530296518646,93
7,0.0028821945190429686,6.279592352049173e-05,0.07434625625610351,0.0030611317188710876,8,{'n_neighbors': 8},0.7448405253283302,0.748356807511737,0.7661971830985915,0.7502347417840376,0.7305164319248826,0.7480291379295159,0.011418511662287044,91
8,0.0028188228607177734,5.031750541109404e-05,0.07257204055786133,0.0002585852957054418,9,{'n_neighbors': 9},0.7542213883677298,0.7502347417840376,0.7661971830985915,0.7530516431924883,0.7314553990610329,0.751032071100776,0.011208147573619763,90
9,0.002874755859375,2.6090706237326628e-05,0.07830252647399902,0.0002616465319141766,10,{'n_neighbors': 10},0.7476547842401501,0.7455399061032864,0.7605633802816901,0.7492957746478873,0.7370892018779343,0.7480286094301896,0.0075462602009864314,92
10,0.0030505180358886717,0.00024915452883115337,0.0802222728729248,0.003938417508832129,11,{'n_neighbors': 11},0.7532833020637899,0.755868544600939,0.7577464788732394,0.7549295774647887,0.7370892018779343,0.7517834209761383,0.00748751378427154,89
11,0.0031284332275390626,0.00023733031813672007,0.08111691474914551,0.0013687062306493877,12,{'n_neighbors': 12},0.7598499061913696,0.7539906103286385,0.7605633802816901,0.7680751173708921,0.7417840375586855,0.7568526103462552,0.008763003934382504,82
12,0.0030233383178710936,0.00018463929066635918,0.08029537200927735,0.0005286634543264719,13,{'n_neighbors': 13},0.7551594746716698,0.7596244131455399,0.7708920187793428,0.7661971830985915,0.739906103286385,0.7583558385963057,0.010685141589299738,79
13,0.0033451080322265624,0.0005345191111136365,0.09888138771057128,0.024165001460215472,14,{'n_neighbors': 14},0.7579737335834896,0.755868544600939,0.7624413145539906,0.7727699530516432,0.7305164319248826,0.7559139955429891,0.013971471084494428,84
14,0.002886343002319336,0.00012937703736938262,0.08182096481323242,0.0008254032063365575,15,{'n_neighbors': 15},0.7560975609756098,0.7577464788732394,0.7690140845070422,0.7737089201877935,0.7370892018779343,0.7587312492843239,0.012699225399374858,78
15,0.002972126007080078,0.00021595012044508014,0.08642220497131348,0.00552744482220758,16,{'n_neighbors': 16},0.7654784240150094,0.752112676056338,0.7586854460093897,0.7718309859154929,0.7286384976525822,0.7553492059297625,0.014895084361463874,87
16,0.0029144763946533205,0.0002587750666276161,0.08432269096374512,0.0009959367388267181,17,{'n_neighbors': 17},0.7514071294559099,0.7539906103286385,0.7652582159624414,0.7755868544600939,0.7323943661971831,0.7557274352808533,0.01450066223823121,85
17,0.003341007232666016,0.0011278944646527967,0.08968329429626465,0.008324679650531916,18,{'n_neighbors': 18},0.7542213883677298,0.7539906103286385,0.7586854460093897,0.7727699530516432,0.7323943661971831,0.7544123527909168,0.012963540262934573,88
18,0.003046560287475586,0.00027385046520835433,0.08941483497619629,0.001466698740172228,19,{'n_neighbors': 19},0.7532833020637899,0.752112676056338,0.7690140845070422,0.7737089201877935,0.7361502347417841,0.7568538435113495,0.013385304792873101,81
19,0.0032148361206054688,0.0004144287728244977,0.09947338104248046,0.013214273082681114,20,{'n_neighbors': 20},0.7542213883677298,0.7549295774647887,0.7680751173708921,0.7737089201877935,0.7276995305164319,0.7557269067815272,0.0159013662994177,86
20,0.003029489517211914,0.00019269741796977205,0.08873929977416992,0.005597682458283319,21,{'n_neighbors': 21},0.7579737335834896,0.752112676056338,0.7737089201877935,0.7727699530516432,0.7408450704225352,0.7594820706603599,0.012513128316713923,76
21,0.002700185775756836,5.091263379398984e-05,0.08006672859191895,0.0009246346912538145,22,{'n_neighbors': 22},0.7560975609756098,0.7511737089201878,0.7643192488262911,0.7699530516431925,0.7380281690140845,0.7559143478758731,0.011046720621766934,83
